Entity,http://www.w3.org/2000/01/rdf-schema#label,https://www.fns-cloud.eu/foodComponents/FNS_H_0000003000,
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003081,"'Cistin'	'cystine'","'CYS'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003082,"'Cistein'	'cysteine'","'CYSTE'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003083,"'daidzein'	'Daidzein'","'DDZEIN'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003084,"'density/specific gravity'	'Gostota/Specifična teža'","'DEN'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003085,"'Dekstrin'	'dextrins'","'DEXTN'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003086,"'disaccharides, total'","'DISAC'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003087,"'Dopamin'	'dopamine'","'DOPN'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003088,"'dry matter'	'Suha snov'","'DRYMAT'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003089,"'Užitni del'	'edible portion'","'EDIBLE'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003090,"'Skupna energija'	'energy, gross'","'ENERA'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003091,"'Skupna presnovljiva energija'	'energy, total metabolisable'","'ENERC'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003092,"'epicatechin'	'Epikatehin'","'EPICATEC'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003093,"'Ergokalciferol'	'ergocalciferol'","'ERGCAL'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003094,"'Ergosterol'	'ergosterol'","'ERGSTR'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003095,"'Kaprinska kislina (MK 10:0)'	'fatty acid 10:0 (capric acid)'","'F10:0'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003096,"'MK 10:1'	'fatty acid 10:1'","'F10:1'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003097,"'MK 10:1 cis'	'fatty acid 10:1 cis'","'F10:1CIS'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003098,"'MK 10:1'	'fatty acid 10:1 (caproleic acid)'","'F10:1CN1'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003099,"'fatty acid 10:1 trans'	'MK 10:1 trans'","'F10:1TRS'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003100,"'MK 11:0'	'fatty acid 11:0'","'F11:0'",
https://www.fns-cloud.eu/foodComponents/FNS_H_0000003101,"'fatty acid 12:0 (lauric acid)'	'Lavrinska kislina (MK 12:0)'","'F12:0'",
